Source,Target,Weight,Distancia,Duracao,,
"FORTALEZA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,32,11.40,0.35,,
"FORTALEZA, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,4,16.00,0.47,,
"FORTALEZA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,2,4.10,0.2,,
"FORTALEZA, CE",HGF HOSPITAL GERAL DE FORTALEZA,3,6.70,0.37,,
"FORTALEZA, CE",HOSPITAL HAROLDO JUACABA,2,4.70,0.25,,
"FORTALEZA, CE",HOSPITAL BATISTA MEMORIAL,1,4.40,0.25,,
"FORTALEZA, CE",IJF INSTITUTO DR JOSE FROTA CENTRAL,1,0.90,0.08,,
"FORTALEZA, CE",HIAS HOSPITAL INFANTIL ALBERT SABIN,2,5.00,0.25,,
"FORTALEZA, CE",HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,1,34.90,0.75,,
"FORTALEZA, CE",H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,1,1.90,0.13,,
"FORTALEZA, CE",SANTA CASA DE MISERICORDIA DE FORTALEZA,1,1.40,0.08,,
"FORTALEZA, CE",HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,1,7.60,0.35,,
"FORTALEZA, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,6.60,0.3,,
"FORTALEZA, CE",HOSP GERAL MANUEL ASSUNCAO PIRES,1,33.80,0.72,,
"FORTALEZA, CE",HOSPITAL DISTRITAL GONZAGA MOTA BARRA DO CEARA,1,9.50,0.43,,
"FORTALEZA, CE",HOSPITAL DISTRITAL MARIA JOSE BARROSO DE OLIVEIRA PARANGABA,1,9.00,0.38,,
"FORTALEZA, CE",HOSPITAL ESTADUAL LEONARDO DA VINCI,1,2.60,0.17,,
"HIDROLANDIA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,265.00,3.43,,
"HIDROLANDIA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,118.00,1.55,,
"HORIZONTE, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,44.50,0.82,,
"HORIZONTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,32.70,0.53,,
"HORIZONTE, CE",HOSPITAL HAROLDO JUACABA,1,45.30,0.88,,
"HORIZONTE, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,44.70,0.83,,
"HORIZONTE, CE",HOSPITAL JOSE MARIA PHILOMENO GOMES,1,10.00,0.27,,
"HORIZONTE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,44.10,0.88,,
"IGUATU, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,366.00,5.18,,
"IGUATU, CE",HOSPITAL REGIONAL DE IGUATU,2,1.00,0.02,,
"IGUATU, CE",HOSPITAL HAROLDO JUACABA,1,367.00,5.2,,
"IGUATU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,354.00,4.83,,
"IGUATU, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,366.00,5.15,,
"IGUATU, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,162.00,2.72,,
"IPUEIRAS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,316.00,4.15,,
"IPUEIRAS, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,301.00,4.03,,
"IPUEIRAS, CE",HOSP MATERN OTACILIO MOTA,1,1.00,0.02,,
"IPUEIRAS, CE",HOSPITAL SAO LUCAS,1,4061.00,51,,
"IPUEIRAS, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,126.00,1.97,,
"ITAPIPOCA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,147.00,2.15,,
"ITAPIPOCA, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,1,634.00,8.92,,
"ITAPIPOCA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,149.00,2.25,,
"ITAPIPOCA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,144.00,2.05,,
"ITAPIPOCA, CE",HOSPITAL HAROLDO JUACABA,1,144.00,2.07,,
"ITAPIPOCA, CE",HIAS HOSPITAL INFANTIL ALBERT SABIN,1,147.00,2.22,,
"ITAPIPOCA, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,142.00,1.98,,
"ITAPIPOCA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,154.00,2.43,,
"JAGUARIBARA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,217.00,3,,
"JAGUARIBARA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,229.00,3.3,,
"JAGUARUANA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,174.00,2.58,,
"JAGUARUANA, CE",HOSPITAL E CASA DE SAUDE DE RUSSAS,1,27.90,0.6,,
"JAGUARUANA, CE",H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,1,185.00,2.9,,
"JAGUARUANA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,186.00,2.93,,
"JUAZEIRO DO NORTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,483.00,7.03,,
"JUAZEIRO DO NORTE, CE",HOSPITAL REGIONAL DO CARIRI,1,2.30,0.12,,
"JUAZEIRO DO NORTE, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,4,11.20,0.3,,
"JUAZEIRO DO NORTE, CE",HOSPITAL DO CORACAO DO CARIRI,1,11.90,0.32,,
"MARACANAU, CE",HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,1,2.10,0.12,,
"MARACANAU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3,24.50,0.5,,
"MARACANAU, CE",HOSPITAL HAROLDO JUACABA,2,19.70,0.62,,
"MARACANAU, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,2,28.90,0.65,,
"MARACANAU, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,28.90,0.65,,
"MARACANAU, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,22.10,0.68,,
"MARACANAU, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,18.80,0.57,,
"MARACANAU, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,29.10,0.82,,
"MISSAO VELHA, CE",HOSPITAL HAROLDO JUACABA,1,508.00,7.32,,
"MISSAO VELHA, CE",IMTAVI,1,39.80,0.65,,
"MISSAO VELHA, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,22.00,0.38,,
"MISSAO VELHA, CE",HOSPITAL MATERNIDADE SANTO ANTONIO HMSA,1,1506.00,23.62,,
"MISSAO VELHA, CE",HOSPITAL DO CORACAO DO CARIRI,1,22.80,0.4,,
"MOMBACA, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,2,305.00,4.38,,
"MOMBACA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,321.00,4.5,,
"MOMBACA, CE",HOSP MATERN ANT ADERALDO CASTELO,1,2122.00,32,,
"MOMBACA, CE",HOSPITAL HAROLDO JUACABA,1,306.00,4.38,,
"PEDRA BRANCA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,276.00,3.77,,
"PEDRA BRANCA, CE",HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,2,0.60,0.03,,
"PEDRA BRANCA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,274.00,4.03,,
"PEDRA BRANCA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,261.00,3.65,,
"PIRES FERREIRA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,90.50,1.38,,
"QUIXELO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,331.00,4.43,,
"QUIXELO, CE",HOSPITAL REGIONAL DE IGUATU,1,23.90,0.45,,
"RUSSAS, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,6,169.00,2.47,,
"RUSSAS, CE",HOSPITAL E CASA DE SAUDE DE RUSSAS,2,1.00,0.05,,
"RUSSAS, CE",HOSPITAL E MATERNIDADE DIVINA PROVIDENCIA DE RUSSAS,1,1.10,0.05,,
"RUSSAS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,157.00,2.38,,
"RUSSAS, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,168.00,2.72,,
"RUSSAS, CE",HGF HOSPITAL GERAL DE FORTALEZA,2,168.00,2.67,,
"RUSSAS, CE",HOSPITAL HAROLDO JUACABA,1,169.00,2.73,,
"RUSSAS, CE",HOSPITAL SAO RAIMUNDO,1,167.00,2.72,,
"RUSSAS, CE",HOSPITAL ESTADUAL LEONARDO DA VINCI,1,167.00,2.65,,
"SAO GONCALO DO AMARANTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,74.20,1.18,,
"SAO GONCALO DO AMARANTE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,64.00,1.1,,
"SAO GONCALO DO AMARANTE, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,71.20,1.4,,
"SAO GONCALO DO AMARANTE, CE",HOSPITAL HAROLDO JUACABA,1,61.20,1.03,,
"SAO GONCALO DO AMARANTE, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,2,61.60,1.02,,
"SAO GONCALO DO AMARANTE, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,60.00,0.95,,
"SAO GONCALO DO AMARANTE, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,3,76.40,1.25,,
"SENADOR POMPEU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,256.00,3.57,,
"SENADOR POMPEU, CE",MATERNIDADE E HOSPITAL SANTA ISABEL,1,0.90,0.05,,
"SENADOR POMPEU, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,1,259.00,3.65,,
"SOBRAL, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,249.00,3.5,,
"SOBRAL, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,1.40,0.07,,
"SOBRAL, CE",HOSPITAL HAROLDO JUACABA,1,241.00,3.28,,
"SOBRAL, CE",HOSPITAL E MATERNIDADE FRANCISCO RAIMUNDO MARCOS,1,272.00,4.12,,
"UBAJARA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,328.00,4.7,,
"UBAJARA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,80.80,1.37,,
"UBAJARA, CE",HOSPITAL MATERNIDADE MADALENA NUNES,1,17.50,0.35,,
"ARATUBA, CE",HOSP MATERN SANTA IZABEL ARACOIABA,1,37.70,0.73,,
"ARATUBA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,123.00,2.1,,
"BATURITE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,96.30,1.63,,
"BATURITE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,94.60,1.87,,
"BATURITE, CE",HOSPITAL BATISTA MEMORIAL,1,99.50,1.87,,
"BATURITE, CE",HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,1,0.60,0.03,,
"BATURITE, CE",HOSPITAL HAROLDO JUACABA,1,92.50,1.78,,
"CASCAVEL, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,54.90,0.9,,
"CASCAVEL, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,2,67.60,1.42,,
"CASCAVEL, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,57.50,1.1,,
"CASCAVEL, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,62.50,1.23,,
"CASCAVEL, CE",HOSPITAL HAROLDO JUACABA,1,63.70,1.25,,
"CRATEUS, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,217.00,2.85,,
"CRATEUS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,363.00,4.73,,
"CRATEUS, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,348.00,4.62,,
"CRATEUS, CE",HOSPITAL SAO LUCAS,1,3966.00,50,,
"CRATEUS, CE",HOSPITAL HAROLDO JUACABA,1,348.00,4.62,,
"EUSEBIO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,16.90,0.32,,
"EUSEBIO, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,24.50,0.67,,
"EUSEBIO, CE",HOSPITAL HAROLDO JUACABA,2,25.70,0.68,,
"EUSEBIO, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,19.50,0.52,,
"ICAPUI, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,195.00,2.67,,
"ICAPUI, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,203.00,3.02,,
"ITAITINGA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,21.50,0.42,,
"ITAITINGA, CE",HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,1,1.30,0.08,,
"ITAITINGA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,33.30,0.7,,
"ITAITINGA, CE",HOSPITAL HAROLDO JUACABA,1,34.10,0.77,,
"ITAITINGA, CE",SANTA CASA DE MISERICORDIA DE FORTALEZA,1,33.90,0.77,,
"LIMOEIRO DO NORTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,192.00,2.72,,
"LIMOEIRO DO NORTE, CE",HOSPITAL SAO RAIMUNDO,1,203.00,3.05,,
"LIMOEIRO DO NORTE, CE",HOSPITAL HAROLDO JUACABA,1,204.00,3.08,,
"MARANGUAPE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,31.70,0.6,,
"MARANGUAPE, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,33.80,0.92,,
"MARANGUAPE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,25.50,0.77,,
"MARANGUAPE, CE",HOSPITAL HAROLDO JUACABA,1,23.10,0.7,,
"MARANGUAPE, CE",HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,1,10.90,0.32,,
"MARANGUAPE, CE",HOSPITAL DISTRITAL MARIA JOSE BARROSO DE OLIVEIRA PARANGABA,1,18.00,0.47,,
"MAURITI, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,480.00,6.58,,
"MAURITI, CE",HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,1,2854.00,40,,
"MAURITI, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,72.30,1.3,,
"MAURITI, CE",HOSPITAL DO CORACAO DO CARIRI,1,73.20,1.32,,
"MORADA NOVA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,168.00,2.55,,
"MORADA NOVA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,156.00,2.22,,
"MORADA NOVA, CE",HOSPITAL E CASA DE SAUDE DE RUSSAS,1,56.10,0.85,,
"MORADA NOVA, CE",SANTA CASA DE MORADA NOVA,3,0.60,0.05,,
"MORADA NOVA, CE",HOSPITAL HAROLDO JUACABA,1,169.00,2.57,,
"MORADA NOVA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,168.00,2.5,,
"MORADA NOVA, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,173.00,2.73,,
"MORADA NOVA, CE",HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,1,1.70,0.07,,
"MORADA NOVA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,168.00,2.52,,
"OROS, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,347.00,4.95,,
"OROS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,330.00,4.43,,
"OROS, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,342.00,4.73,,
"SANTA QUITERIA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,89.20,1.17,,
"SANTA QUITERIA, CE",HOSP PUBLICO MUNICIPAL S QUITERIA,1,0.50,0.03,,
"SANTA QUITERIA, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,220.00,2.93,,
"SANTA QUITERIA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,236.00,3.05,,
"VICOSA DO CEARA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,365.00,5.13,,
"VICOSA DO CEARA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,358.00,4.9,,
"VICOSA DO CEARA, CE",HOSPITAL HAROLDO JUACABA,1,358.00,4.9,,
"VICOSA DO CEARA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,118.00,1.78,,
"ARACATI, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,142.00,1.95,,
"ARACATI, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,150.00,2.28,,
"ARACATI, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,155.00,2.47,,
"ARACATI, CE",HOSPITAL HAROLDO JUACABA,1,151.00,2.3,,
"ARACATI, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,145.00,2.15,,
"BARBALHA, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,3,0.50,0.05,,
"BARBALHA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,496.00,7.22,,
"BOA VIAGEM, CE",CASA DE SAUDE ADILIA MARIA,1,0.20,0.02,,
"BOA VIAGEM, CE",HOSPITAL HAROLDO JUACABA,2,218.00,3.02,,
"BOA VIAGEM, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,233.00,3.12,,
"BOA VIAGEM, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,218.00,3,,
"BOA VIAGEM, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,219.00,3.1,,
"BREJO SANTO, CE",IMTAVI,1,0.70,0.03,,
"BREJO SANTO, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,61.90,1.05,,
"BREJO SANTO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,488.00,6.73,,
"CRATO, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,20.10,0.52,,
"CRATO, CE",HOSPITAL REGIONAL DO CARIRI,1,10.60,0.32,,
"CRATO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,497.00,7.07,,
"CRATO, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,509.00,7.37,,
"CRATO, CE",HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,1,1.00,0.08,,
"ITAPIUNA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,111.00,1.77,,
"ITAPIUNA, CE",HOSPITAL MATERNIDADE PROFESSOR WALDEMAR ALCANTARA,1,114.00,1.82,,
"JAGUARIBE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3,282.00,3.83,,
"JAGUARIBE, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,294.00,4.15,,
"JAGUARIBE, CE",HOSPITAL HAROLDO JUACABA,1,295.00,4.2,,
"JAGUARIBE, CE",HOSPITAL SAO RAIMUNDO,1,293.00,4.17,,
"JAGUARIBE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,294.00,4.18,,
"JAGUARIBE, CE",HGF HOSPITAL GERAL DE FORTALEZA,2,294.00,4.13,,
"MARCO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,235.00,3.45,,
"MARCO, CE",HOSPITAL MUNICIPAL JAIME OSTERNO,1,0.90,0.07,,
"MARCO, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,92.10,1.33,,
"MONSENHOR TABOSA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,172.00,2.27,,
"MONSENHOR TABOSA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,296.00,4.05,,
"MONSENHOR TABOSA, CE",HOSPITAL HAROLDO JUACABA,1,280.00,3.93,,
"NOVA RUSSAS, CE",HOSPITAL MUNICIPAL JOSE GONCALVES ROSA,1,0.90,0.05,,
"NOVA RUSSAS, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,300.00,4.12,,
"NOVA RUSSAS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,316.00,4.23,,
"NOVA RUSSAS, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,170.00,2.33,,
"NOVA RUSSAS, CE",HOSPITAL HAROLDO JUACABA,1,301.00,4.12,,
"PACAJUS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,42.30,0.7,,
"PACAJUS, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,53.70,1.05,,
"PACAJUS, CE",HOSPITAL JOSE MARIA PHILOMENO GOMES,1,0.60,0.03,,
"PACAJUS, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,54.10,1,,
"PACAJUS, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,54.30,1.02,,
"PACATUBA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,4,26.00,0.5,,
"PACATUBA, CE",HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,1,9.30,0.23,,
"PACATUBA, CE",HOSPITAL RAIMUNDO CELIO RODRIGUES,1,8.00,0.18,,
"PACATUBA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,30.50,0.8,,
"PACATUBA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,21.20,0.63,,
"PACATUBA, CE",HOSPITAL HAROLDO JUACABA,1,22.10,0.68,,
"PACATUBA, CE",HIAS HOSPITAL INFANTIL ALBERT SABIN,1,21.60,0.65,,
"QUIXADA, CE",HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,1,0.50,0.04,,
"QUIXADA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,158.00,2.17,,
"QUIXADA, CE",HOSPITAL HAROLDO JUACABA,1,171.00,2.52,,
"QUIXADA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,170.00,2.45,,
"QUIXADA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,170.00,2.47,,
"QUIXADA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,170.00,2.5,,
"SOLONOPOLE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,265.00,3.48,,
"SOLONOPOLE, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,277.00,3.78,,
"TAUA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,356.00,4.7,,
"TAUA, CE",HOSPITAL HAROLDO JUACABA,1,340.00,4.6,,
"TAUA, CE",HOSPITAL DR ALBERTO FEITOSA LIMA,1,0.70,0.03,,
"TAUA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,354.00,4.98,,
"TAUA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,340.00,4.58,,
"VARJOTA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,68.30,1.03,,
"VARJOTA, CE",UNIDADE OBSTETRICA DE VARJOTA,1,1.00,0.67,,
