COD,MUNIC
110147,"PRIMAVERA DE RONDONIA, RO"
251230,"PRINCESA ISABEL, PB"
280570,"PROPRIA, SE"
412070,"QUATIGUA, PR"
411915,"PINHAIS, PR"
280520,"PINHAO, SE"
431450,"PINHEIRO MACHADO, RS"
353900,"PIRANGI, SP"
270710,"PIRANHAS, AL"
230880,"MORAUJO, CE"
411610,"MOREIRA SALES, PR"
431242,"MORMACO, RS"
241105,"TIBAU, RN"
421795,"TIGRINHOS, SC"
241430,"TIMBAUBA DOS BATISTAS, RN"
421825,"TIMBO GRANDE, SC"
316870,"TIMOTEO, MG"
172120,"TOCANTINOPOLIS, TO"
316600,"SENHORA DE OLIVEIRA, MG"
110150,"SERINGUEIRAS, RO"
320500,"SERRA, ES"
316650,"SERRA AZUL DE MINAS, MG"
251580,"SERRA REDONDA, PB"
500790,"SIDROLANDIA, MS"
316730,"SILVEIRANIA, MG"
316740,"SILVIANOPOLIS, MG"
316760,"SIMONESIA, MG"
293077,"SOBRADINHO, BA"
355210,"SOCORRO, SP"
251610,"SOLEDADE, PB"
231300,"SOLONOPOLE, CE"
510792,"SORRISO, MT"
293080,"SOUTO SOARES, BA"
211195,"SUCUPIRA DO RIACHAO, MA"
221093,"SUSSUAPARA, PI"
432085,"TABAI, RS"
355270,"TABATINGA, SP"
412580,"SAO PEDRO DO IVAI, PR"
312420,"ESPERA FELIZ, MG"
170740,"ESPERANTINA, TO"
280210,"ESTANCIA, SE"
312450,"ESTIVA, MG"
312460,"ESTRELA DALVA, MG"
520750,"ESTRELA DO NORTE, GO"
312490,"EUGENOPOLIS, MG"
312080,"CRUZILIA, MG"
250510,"CUITE, PB"
260490,"CUMARU, PE"
351360,"CUNHA, SP"
312083,"CUPARAQUE, MG"
150277,"CURIONOPOLIS, PA"
410700,"CURIUVA, PR"
150290,"CURUCA, PA"
520680,"DAMOLANDIA, GO"
210375,"DAVINOPOLIS, MA"
520357,"BONOPOLIS, GO"
130080,"BORBA, AM"
270110,"BRANQUINHA, AL"
240180,"BREJINHO, RN"
350790,"BROTAS, SP"
310910,"BUENO BRANDAO, MG"
220202,"BURITI DOS MONTES, PI"
250180,"BAYEUX, PB"
310640,"BELO VALE, MG"
150150,"BENEVIDES, PA"
130063,"BERURI, AM"
350680,"BOCAINA, SP"
520340,"BOM JARDIM DE GOIAS, GO"
420430,"CONCORDIA, SC"
260460,"CONDADO, PE"
430570,"CONDOR, RS"
250470,"CONGO, PB"
410610,"CONSELHEIRO MAIRINCK, PR"
311860,"CONTAGEM, MG"
311880,"CORACAO DE JESUS, MG"
351240,"CORDEIROPOLIS, SP"
500310,"CORGUINHO, MS"
430590,"CORONEL BICACO, RS"
420445,"CORONEL MARTINS, SC"
311960,"CORONEL PACHECO, MG"
311970,"CORONEL XAVIER CHAVES, MG"
311995,"CORREGO FUNDO, MG"
260470,"CORRENTES, PE"
351280,"COSMOPOLIS, SP"
351300,"COTIA, SP"
500330,"COXIM, MS"
351310,"CRAVINHOS, SP"
311780,"CONCEICAO DOS OUROS, MG"
312040,"CRISTIANO OTONI, MG"
231180,"RUSSAS, CE"
315690,"SACRAMENTO, MG"
431643,"SALDANHA MARINHO, RS"
421530,"SALETE, SC"
261230,"SALOA, PE"
330414,"QUEIMADOS, RJ"
510706,"QUERENCIA, MT"
431535,"QUINZE DE NOVEMBRO, RS"
261430,"MOREILANDIA, PE"
260940,"MORENO, PE"
521380,"MORRINHOS, GO"
421120,"MORRO DA FUMACA, SC"
314370,"MORRO DO PILAR, MG"
353205,"MOTUCA, SP"
320360,"MUCURICI, ES"
314380,"MUNHOZ, MG"
292225,"MUQUEM DE SAO FRANCISCO, BA"
292230,"MURITIBA, BA"
292240,"MUTUIPE, BA"
314437,"NATALANDIA, MG"
330310,"NATIVIDADE, RJ"
250990,"NATUBA, PB"
314450,"NAZARENO, MG"
431267,"NICOLAU VERGUEIRO, RS"
314465,"NINHEIRA, MG"
170310,"BARROLANDIA, TO"
150010,"ABAETETUBA, PA"
420010,"ABELARDO LUZ, SC"
210005,"ACAILANDIA, MA"
120001,"ACRELANDIA, AC"
240020,"ACU, RN"
410020,"ADRIANOPOLIS, PR"
260010,"AFOGADOS DA INGAZEIRA, PE"
240030,"AFONSO BEZERRA, RN"
260020,"AFRANIO, PE"
520005,"ABADIA DE GOIAS, GO"
220010,"AGRICOLANDIA, PI"
420020,"AGROLANDIA, SC"
431695,"SANTA MARIA DO HERVAL, RS"
431770,"SANTO ANTONIO DAS MISSOES, RS"
431775,"SANTO ANTONIO DO PLANALTO, RS"
431950,"SAO SEBASTIAO DO CAI, RS"
431960,"SAO SEPE, RS"
432032,"SENADOR SALGADO FILHO, RS"
432057,"SETE DE SETEMBRO, RS"
432132,"TAQUARUCU DO SUL, RS"
432140,"TENENTE PORTELA, RS"
432185,"TRES PALMEIRAS, RS"
432310,"VICENTE DUTRA, RS"
500210,"BELA VISTA, MS"
500510,"JATEI, MS"
510170,"BARRA DO BUGRES, MT"
510250,"CACERES, MT"
510360,"DOM AQUINO, MT"
510550,"VILA BELA DA SANTISSIMA TRINDADE, MT"
510619,"NOVA SANTA HELENA, MT"
510629,"PARANAITA, MT"
510685,"PORTO ESTRELA, MT"
510715,"RESERVA DO CABACAL, MT"
510724,"SANTA CARMEM, MT"
510730,"SAO JOSE DO RIO CLARO, MT"
510840,"VARZEA GRANDE, MT"
520017,"AGUA FRIA DE GOIAS, GO"
316820,"TAPIRAI, MG"
355220,"SOROCABA, SP"
231280,"SENADOR SA, CE"
251460,"SAO JOSE DO BONFIM, PB"
251510,"SAO SEBASTIAO DE LAGOA DE ROCA, PB"
260030,"AGRESTINA, PE"
260240,"BREJAO, PE"
260260,"BREJO DA MADRE DE DEUS, PE"
260280,"BUIQUE, PE"
260310,"CACHOEIRINHA, PE"
260510,"CUSTODIA, PE"
260680,"IGARASSU, PE"
260710,"INGAZEIRA, PE"
260795,"JAQUEIRA, PE"
261170,"RIACHO DAS ALMAS, PE"
261340,"SAO JOSE DA COROA GRANDE, PE"
261500,"TAQUARITINGA DO NORTE, PE"
261640,"VITORIA DE SANTO ANTAO, PE"
270170,"CAPELA, AL"
270200,"COITE DO NOIA, AL"
270375,"JEQUIA DA PRAIA, AL"
270530,"MINADOR DO NEGRAO, AL"
270550,"MURICI, AL"
270760,"QUEBRANGULO, AL"
280250,"GENERAL MAYNARD, SE"
280320,"ITAPORANGA D'AJUDA, SE"
280380,"MALHADA DOS BOIS, SE"
280540,"POCO REDONDO, SE"
290110,"AMELIA RODRIGUES, BA"
290115,"AMERICA DOURADA, BA"
290260,"BAIXA GRANDE, BA"
290320,"BARREIRAS, BA"
430965,"HULHA NEGRA, RS"
210500,"HUMBERTO DE CAMPOS, MA"
312930,"IAPU, MG"
250660,"IBIARA, PB"
291230,"IBICUI, BA"
291240,"IBIPEBA, BA"
312965,"IBIRACATU, MG"
291280,"IBIRAPUA, BA"
291290,"IBIRATAIA, BA"
351960,"IBITINGA, SP"
351970,"IBIUNA, SP"
351780,"GUARACAI, SP"
666666,"ESTRANGEIRO, XX"
999999,"INVALIDO, XX"
240530,"JANUARIO CICCO, RN"
290330,"BARRO PRETO, BA"
240615,"JUNDIA, RN"
330285,"MESQUITA, RJ"
430047,"ALMIRANTE TAMANDARE DO SUL, RS"
430258,"BOZANO, RS"
430462,"CAPAO BONITO DO SUL, RS"
430593,"CORONEL PILAR, RS"
430843,"FORQUETINHA, RS"
431087,"JACUIZINHO, RS"
431217,"MATO QUEIMADO, RS"
431413,"PAULO BENTO, RS"
431446,"PINHAL DA SERRA, RS"
431595,"ROLADOR, RS"
431697,"SANTA MARGARIDA DO SUL, RS"
432146,"TIO HUGO, RS"
140045,"PACARAIMA, RR"
280490,"PACATUBA, SE"
521560,"PADRE BERNARDO, GO"
314640,"PAINEIRAS, MG"
231000,"PALHANO, CE"
292265,"NORDESTINA, BA"
280460,"NOSSA SENHORA DAS DORES, SE"
280480,"NOSSA SENHORA DO SOCORRO, SE"
411670,"NOVA AURORA, PR"
510620,"NOVA BRASILANDIA, MT"
431300,"NOVA BRESCIA, RS"
510621,"NOVA CANAA DO NORTE, MT"
353286,"NOVA CASTILHO, SP"
411695,"NOVA ESPERANCA DO SUDOESTE, PR"
411700,"NOVA FATIMA, PR"
431310,"NOVA PALMA, RS"
314505,"NOVA PORTEIRINHA, MG"
314510,"NOVA RESENDE, MG"
431335,"NOVA ROMA DO SUL, RS"
431337,"NOVA SANTA RITA, RS"
411727,"NOVA TEBAS, PR"
320390,"NOVA VENECIA, ES"
130320,"NOVO AIRAO, AM"
353140,"MONTE APRAZIVEL, SP"
314310,"MONTE CARMELO, MG"
314315,"MONTE FORMOSO, MG"
171370,"MONTE SANTO DO TOCANTINS, TO"
270540,"MONTEIROPOLIS, AL"
521375,"MONTIVIDIU, GO"
313890,"MACHACALIS, MG"
313900,"MACHADO, MG"
291990,"MACURURE, BA"
220585,"MADEIRO, PI"
320530,"VITORIA, ES"
293330,"VITORIA DA CONQUISTA, BA"
150835,"VITORIA DO XINGU, PA"
317210,"VOLTA GRANDE, MG"
330630,"VOLTA REDONDA, RJ"
293340,"WAGNER, BA"
412850,"WENCESLAU BRAZ, PR"
293350,"WENCESLAU GUIMARAES, BA"
412880,"XAMBRE, PR"
421950,"XANXERE, SC"
150840,"XINGUARA, PA"
251740,"ZABELE, PB"
293270,"URUCUCA, BA"
231390,"URUOCA, CE"
432250,"VACARIA, RS"
293290,"VALENCA, BA"
355620,"VALINHOS, SP"
355635,"VARGEM, SP"
421917,"VARGEM BONITA, SC"
211270,"VARGEM GRANDE, MA"
317065,"VARGEM GRANDE DO RIO PARDO, MG"
522190,"VARJAO, GO"
221135,"VARZEA BRANCA, PI"
330620,"VASSOURAS, RJ"
241475,"VENHA-VER, RN"
240590,"JOAO DIAS, RN"
320313,"JOAO NEIVA, ES"
313640,"JOAQUIM FELICIO, MG"
431115,"JOIA, RS"
120032,"JORDAO, AC"
230730,"JUAZEIRO DO NORTE, CE"
291845,"JUCURUCU, BA"
313670,"JUIZ DE FORA, MG"
352600,"JUNQUEIROPOLIS, SP"
352620,"JUQUITIBA, SP"
220553,"JUREMA, PI"
130220,"JURUA, AM"
150390,"JURUTI, PA"
291855,"JUSSARI, BA"
130240,"LABREA, AM"
500520,"LADARIO, MS"
210570,"LAGO DA PEDRA, MA"
250810,"LAGOA, PB"
220558,"LAGOA DO PIAUI, PI"
210596,"LAGOA GRANDE DO MARANHAO, MA"
240660,"LAGOA SALGADA, RN"
250830,"LAGOA SECA, PB"
431130,"LAGOA VERMELHA, RS"
352630,"LAGOINHA, SP"
420940,"LAGUNA, SC"
291880,"LAJE, BA"
330230,"LAJE DO MURIAE, RJ"
420945,"LAJEADO GRANDE, SC"
313430,"ITUMIRIM, MG"
313440,"ITURAMA, MG"
292140,"MIRANGABA, BA"
210680,"MIRINZAL, MA"
314230,"MOEDA, MG"
250940,"MOGEIRO, PB"
353060,"MOGI DAS CRUZES, SP"
353090,"MOMBUCA, SP"
314260,"MONSENHOR PAULO, MG"
431235,"MONTAURI, RS"
314280,"MONTE ALEGRE DE MINAS, MG"
270440,"MAJOR ISIDORO, AL"
521270,"MAMBAI, GO"
411410,"MANDAGUACU, PR"
313930,"MANGA, MG"
130270,"MANICORE, AM"
411450,"MANOEL RIBAS, PR"
292040,"MANOEL VITORINO, BA"
320330,"MANTENOPOLIS, ES"
130280,"MARAA, AM"
260090,"AMARAJI, PE"
230075,"AMONTADA, CE"
280010,"AMPARO DE SAO FRANCISCO, SE"
350200,"ANALANDIA, SP"
210080,"ANAPURUS, MA"
290135,"ANDORINHA, BA"
350220,"ANGATUBA, SP"
290140,"ANGICAL, BA"
290150,"ANGUERA, BA"
350240,"ANHUMAS, SP"
220080,"ANTONIO ALMEIDA, PI"
241480,"VERA CRUZ, RN"
261610,"VERDEJANTE, PE"
261618,"VERTENTE DO LERIO, PE"
211280,"VIANA, MA"
500840,"VICENTINA, MS"
432320,"VICTOR GRAEFF, RS"
317140,"VIEIRAS, MG"
150820,"VIGIA, PA"
432330,"VILA FLORES, RS"
355670,"VINHEDO, SP"
317200,"VISCONDE DO RIO BRANCO, MG"
432360,"VISTA ALEGRE DO PRATA, RS"
150430,"MARACANA, PA"
260920,"MARAIAL, PE"
320332,"MARATAIZES, ES"
230780,"MARCO, CE"
120035,"MARECHAL THAUMATURGO, AC"
431198,"MARIANA PIMENTEL, RS"
320335,"MARILANDIA, ES"
352900,"MARILIA, SP"
411530,"MARIOPOLIS, PR"
250915,"MARIZOPOLIS, PB"
431205,"MARQUES DE SOUZA, RS"
230790,"MARTINOPOLE, CE"
280400,"MARUIM, SE"
521290,"MARZAGAO, GO"
220605,"MASSAPE DO PIAUI, PI"
270500,"MATA GRANDE, AL"
210640,"MATA ROMA, MA"
150125,"BANNACH, PA"
210150,"BARAO DE GRAJAU, MA"
250153,"BARAUNA, PB"
150130,"BARCARENA, PA"
420209,"BARRA BONITA, SC"
320090,"BARRA DE SAO FRANCISCO, ES"
290290,"BARRA DO CHOCA, BA"
430185,"BARRA DO GUARITA, RS"
330030,"BARRA DO PIRAI, RJ"
330040,"BARRA MANSA, RJ"
220130,"BARREIRAS DO PIAUI, PI"
