CNES,NOMEFANT
0008923,CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO
0009008,UNIDADE DE PRONTO ATENDIMENTO SAUDE MENTAL
0009296,HOSPITAL DE CLINICAS NORTE
0009539,IPMMI HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO
0009601,HOSPITAL PIO XII
0009628,HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE
0009636,ASSOCIACAO INSTITUTO CHUI DE PSIQUIATRIA
0009695,CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS
0009709,EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN
0009717,SANTA CASA
0009725,HOSPITAL REGIONAL DE MATO GROSSO DO SUL
0009733,HOSPITAL SAO JULIAO
0009768,ASSOCIACAO DE AMPARO A MATERNIDADE E A INFANCIA AAMI
0009776,HOSPITAL DO CANCER DR ALFREDO ABRAO
0009792,HOSPITAL NOSSO LAR
0010448,SESAU CEDIP HD HOSPITAL DIA
0010456,HOSPITAL DE BASE DO DISTRITO FEDERAL
0010464,HRAN
0010472,HRG
0010480,HOSPITAL REGIONAL DE CEILANDIA
0010499,HRT HOSPITAL REGIONAL DE TAGUATINGA
0010502,HRS
0010510,HOSPITAL UNIVERSITARIO DE BRASILIA
0010529,HRPL
0010537,HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA
0010545,HRBZ
0010561,HFA
0010596,HOSPITAL DIA
0010618,HOSPITAL SAO VICENTE DE PAULO HSVP
0011738,HOSPITAL SANTA RITA DE CASSIA
0011746,HOSPITAL DA SANTA CASA DE MISERICORDIA DE VITORIA
0011800,HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA
0011819,HOSPITAL SAO LUCAS
0011843,SANTA CASA DE MISERICORDIA DE VITORIA UNIDADE PRO MATRE
0011991,AFPES
0012009,HOSPITAL PEDIATRICO DE VITORIA
0012017,HOSPITAL DA POLICIA MILITAR HPM
0012319,CLINICA LETICIA
0012505,HOSPITAL UNIVERSITARIO ANTONIO PEDRO
0012513,HOSPITAL MUNICIPAL CARLOS TORTELLY
0012521,SES RJ HOSPITAL ESTADUAL AZEVEDO LIMA
0012556,HOSPITAL ORENCIO DE FREITAS
0012599,HOSPITAL GETULIO VARGAS FILHO
0012610,HOSPITAL DE OLHOS SANTA BEATRIZ
0012688,CLINICA SANTA JULIANA
0012718,HOSPITAL PSIQUIATRICO DE JURUJUBA
0012742,CASA DE SAUDE ALFREDO NEVES LTDA
0012769,SES RJ INSTITUTO ESTADUAL DE DOENCAS DO TORAX ARY PARREIRAS
0012815,SEAP RJ HOSPITAL PENAL DE NITEROI
0012823,SEAP RJ HOSPITAL DE CUST E TRAT PSIQUIATRICO HENRIQUE ROXO
0013579,HOSPITAL MUNICIPAL BOM JESUS
0013633,HOSPITAL ANGELINA CARON
0013773,HOSPITAL MUNICIPAL SAO LUIZ
0013838,HOSPITAL SAO LUCAS
0013846,HOSPITAL DO ROCIO
0014001,ASSOCIACAO DE PESQUISA E TRATAMENTO ALCOOLISMO
0014109,HOSPITAL SANTA CASA DE MISERICORDIA
0014125,CENTER CLINICAS
0014133,HOSPITAL POLICLINICA SAO MARCOS
0014869,SANTA CASA DE COLOMBO
0015180,HOSPITAL E MAT MIQUELINA FRANCO E B PADILHA
0015245,HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE
0015318,HNSG
0015334,HOSPITAL SANTA CASA DE CURITIBA
0015369,COMPLEXO HOSPITALAR DO TRABALHADOR
0015407,HOSPITAL UNIVERSITARIO CAJURU
0015415,HOSPITAL OSVALDO CRUZ
0015423,CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO PARANA
0015563,HOSPITAL INFANTIL PEQUENO PRINCIPE
0015571,HOSPITAL NOSSA SENHORA DA LUZ
0015601,HOSPITAL SAO VICENTE CIC
0015636,HOSPITAL DE OLHOS DO PARANA
0015644,HOSPITAL ERASTO GAERTNER
0015660,HOSPITAL E MATERNIDADE SANTA MADALENA SOFIA
0015806,CLINICA HEIDELBERG
0015962,HOSPITAL SAO LUCAS
0016209,HOSPITAL DA VISAO
0016292,CLINICA DR HELIO ROTENBERG
0016365,UNIICA BOM RETIRO DOM JOAO BOSCO OLIVER DE FARIA
0016462,CENTRO MEDICO COMUNITARIO BAIRRO NOVO
0017396,UPA BOA VISTA
0017574,HOSPITAL E MATERNIDADE NOSSA SENHORA APARECIDA
0017612,HOSPITAL E MATERNIDADE ITAPERUCU
0017663,HOSPITAL REGIONAL DA LAPA SAO SEBASTIAO
0017779,HOSPITAL MUNICIPAL DE MANDIRITUBA
0017868,POLICLINICA PATO BRANCO
0017884,ISSAL
0018090,FUNDACAO HOSPITALAR PINHAIS
0018260,HOSPITAL ADAUTO BOTELHO
0018333,HOSPITAL MUNICIPAL NOSSA SENHORA DA LUZ DOS PINHAIS
0018368,HOSPITAL DE DERMATOLOGIA SANITARIA
0018384,ASJA
0018392,HOSPITAL PIRAQUARA
0018600,HOSPITAL MUNICIPAL DE RIO BRANCO DO SUL
0018694,HOSPITAL BOM JESUS
0018813,HOSPITAL MUNICIPAL DR ATTILIO TALAMINI
0019194,HOSPITAL NOSSA SENHORA DAS DORES
0019208,UNIDADE MISTA DE SAUDE DE TUNAS DO PARANA
0019283,MATERNIDADE CARMELA DUTRA
0019305,HOSPITAL FLORIANOPOLIS
0019402,IMPERIAL HOSPITAL DE CARIDADE
0019445,CEPONSC
0020516,US 167 POLICLINICA E MATERNIDADE PROFESSOR BARROS LIMA
0020893,IMEP
0021520,UPA VILA LUZITA
0022829,NUCLEO DE CIRURGIA AMBULATORIAL HOSPITAL DIA
0024074,HOSPITAL E MATERNIDADE MUNICIPAL CELIA CAMARA
0024228,UPA CENTRAL EMILIO PIRES MAGALHAES
0025135,HOSPITAL MUNICIPAL SAO JOAO BATISTA
0025143,HOSPITAL MUNICIPAL DR MUNIR RAFFUL
0025151,CASA DE SAUDE VOLTA REDONDA
0025186,HINJA
0025194,HOSPITAL EVANGELICO REGIONAL LTDA
0025399,MATERNIDADE MUNICIPAL HUMBERTO CARRANO
0026050,HOSPITAL SANTA CECILIA
0026417,HOSPITAL DE CLINICAS SUL
0026484,HOSPITAL DE OLHOS DE SERGIPE
0026549,HORG
0026557,OFTALMOCLINICA
0026697,CERSAMI CENTRO SUL CEPAI FHEMIG
0026719,CENTRO OFTALMOLOGICO DE MINAS GERAIS
0026743,HOSPITAL NOSSA SENHORA APARECIDA
0026786,HOSPITAL SOS
0026794,HOSPITAL SOFIA FELDMAN
0026808,HOSPITAL EVANGELICO DE BELO HORIZONTE
0026840,COMPLEXO HOSPITALAR SAO FRANCISCO
0026859,HOSPITAL FELICIO ROCHO
0026875,HOSPITAL SAO BENTO
0026913,HOSPITAL GALBA VELLOSO
0026921,HOSPITAL JOAO XXIII
0026948,HOSPITAL INFANTIL JOAO PAULO II
0026964,HOSPITAL ALBERTO CAVALCANTI
0026972,MATERNIDADE ODETE VALADARES
0026999,INSTITUTO RAUL SOARES
0027014,SANTA CASA DE BELO HORIZONTE
0027022,HOSPITAL JULIA KUBITSCHEK
0027049,HOSP DAS CLINICAS DA UNIV FED DE MINAS GERAIS EBSERH
0027677,CLINICA SERRA VERDE LTDA
0027820,HOSPITAL INFANTIL PADRE ANCHIETA
0027847,HOSPITAL VERA CRUZ
0027863,HOSPITAL RISOLETA TOLENTINO NEVES
0027898,HOSPITAL MATERMED LTDA
0027979,HOSPITAL BELO HORIZONTE
0034053,HOSPITAL ESTADUAL DE COVID 19 AME CAMPINAS
0046124,CENTRO DE PARTO NORMAL MARIA DIVINA
0049867,HOSPITAL AGUAS CLARAS
0052825,SOPHIA MEDIC SERVICOS MEDICOS E CIRURGICOS LTDA
0062197,INTENSI LIFE
0073482,HOSPITAL REGIONAL DO BAIXO TOCANTINS HOSPITAL SANTA ROSA
0086126,HOSPITAL DE ENFRENTAMENTO AO CORONAVIRUS DE GOIANIA
0086673,HOSPITAL ESTADUAL LEONARDO DA VINCI
0088935,HOSPITAL NOSSA SENHORA APARECIDA HNSA
0089621,HOSPITAL DE CAMPANHA COVID 19 EMBU DAS ARTES
0090301,HOSPITAL DE RETAGUARDA DOM VICENTE ZICO
0092894,HOSPITAL REGIONAL DO LITORAL NORTE
0093297,HOSPITAL DE CAMPANHA COVID 19 OURO PRETO
0100358,HOSPITAL DR FRANCISCO ALVES
0101826,HOSPITAL DE CAMPANHA DO RECIFE HPR I AURORA
0101834,HOSPITAL DE CAMPANHA DO RECIFE HPR III IMBIRIBEIRA
0101842,HOSPITAL DE CAMPANHA DO RECIFE HPR II COELHOS
0102040,HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU
0102075,HOSPITAL MUNICIPAL DA BELA VISTA SANTA DULCE DOS POBRES
0102083,HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38
0102091,UNIDADE DE TERAPIA INTENSIVA UTI CAR
0102105,HOSPITAL MUNICIPAL BRASILANDIA
0102172,HOSPITAL DE CAMPANHA COVID 19 CENTRO DE COMBATE AO CORONA
0102547,HOSPITAL DE CAMPANHA COVID 19 DOM ENEMESIO
0102571,HOSPITAL DE CAMPANHA COVID 19 AFIP
0102652,CENTRO INTENSIVO DE COMBATE AO CORONAVIRUS CICC
0102741,HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA
0102792,HOSPITAL DE CAMPANHA COVID 19 UPA CENTRAL
0102806,HOSPITAL DE CAMPANHA COVID 19 UPA ZONA LESTE
0103284,HOSPITAL DE CAMPANHA COVID 19 BELEM
0103462,HOSPITAL DE CAMPANHA COVID 19
0103497,HOSPITAL DE CAMPANHA COVID 19 WETN WILD
0103594,HOSPITAL COVID 19 ITAIGARA
0103608,HOSPITAL DE CAMPANHA COVID 19 COTIA
0103993,HOSPITAL DE CAMPANHA DO MUNICIPIO DE VARGINHA HCMUV
0104167,HOSPITAL DE CAMPANHA COVID 19 CECOVID BETIM 2
0104213,HOSPITAL DE CAMPANHA COVID 19 CEACOR
0104477,HOSPITAL DE CAMPANHA COVID 19 HOSP PRESIDENTE VARGAS
0104515,HOSPITAL DE CAMPANHA COVID 19 SMS NATAL RN
0104523,HOSPITAL DE CAMPANHA COVID 19
0104795,HOSPITAL DE CAMPANHA COVID 19 HOSPITAL VITORIA
0104884,HOSPITAL DE CAMPANHA COVID 19
0104892,HOSPITAL DE CAMPANHA COVID 19 FERNAO DIAS
0105120,HOSPITAL DE CAMPANHA POSTO AVANCADO COVID 19
0105317,HOSPITAL MUNICIPAL OCEANICO DR GILSON CANTARINO HMOGC
0105449,HOSPITAL DE CAMPANHA COVID19 DE BRUMADINHO
0105457,HOSPITAL DE CAMPANHA COVID 19 IPOJUCA
0105589,HOSPITAL DE CAMPANHA COVID 19 FALCAO
0105597,HOSPITAL DE CAMPANHA COVID 19 OSASCO
0105619,HOSPITAL MUNICIPAL COVID 19 DE ITURAMA
0105678,HOSPITAL DE CAMPANHA COVID 19
0105708,HOSPITAL DE CAMPANHA COVID 19 FRANCO DA ROCHA
0105759,HOSPITAL DE CAMPANHA COVID 19 HOSPITAL DE URGENCIA
0105767,HOSPITAL DE CAMPANHA COVID 19 HOSPITAL ANCHIETA
0105805,HOSPITAL SAO JOSE
0105856,HOSPITAL DE CAMPANHA COVID 19 SER
0106232,HOSPITAL DE CAMPANHA COVID 19 SUZANO
0106496,HOSPITAL DE CAMPANHA COVID 19 FONTE NOVA
0106526,HOSPITAL ESPANHOL
0106860,UNIDADE DE ATENDIMENTO PEDIATRICO
0107689,HOSPITAL MUNICIPAL DE CONSELHEIRO LAFAIETE
0107816,HOSPITAL MUNICIPAL DE AFONSO BEZERRA
0107913,HOSPITAL DE CAMPANHA COVID 19 AMBULATORIO MUNICIPAL
0108308,HOSPITAL DE CAMPANHA PRACA 9 DE JULHO
0108375,HOSPITAL FAMILIA SAGRADA
0109258,HOSPITAL MUNICIPAL CASA DE SAUDE ARARUNA
0109266,HOSPITAL NAIR ALVES DE SOUZA SMS
0109703,HOSPITAL DE CAMPANHA COVID 19 DIVINOPOLIS
0109746,HOSPITAL DE CAMPANHA COVID 19 PEDRO DELL ANTONIA
0110140,HOSPITAL MUNICIPAL DE PORANGATU
0110310,HOSPITAL DE CAMPANHA COVID 19 CAIEIRAS
0110345,CENTRO DE TRIAGEM COVID 19 SJVRP
0110612,UNIDADE RESPIRATORIA NOVA HORTOLANDIA
0110809,HOSPITAL DE CAMPANHA COVID 19SMS VR
0110981,HOSPITAL DE CAMPANHA COVID 19 DR AKIRA TADA
0111163,HOSPITAL DE CAMPANHA COVID 19
0111171,HOSPITAL DE CAMPANHA POMBOS COVID 19 PLUS
0111775,HOSPITAL DE CAMPANHA COVID 19
0111813,HOSPITAL DE CAMPANHA COVID 19 DE FEIRA NOVA
0111856,HOSPITAL COVID 19 GARANHUNS
0112062,HOSPITAL DE CAMPANHA RIBEIRAO PIRES
0112097,CENTRO DE TRIAGEM E TRATAMENTO PARA O CORONAVIRUS
0112542,HOSPITAL DE CAMPANHA COVID 19
0112755,HOSPITAL DE CAMPANHA COVID 19 DE CAETES
0113115,HOSPITAL MUNICIPAL RETAGUARDA GONCALENSE
0113123,HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35
0113565,HOSPITAL DE CAMPANHA COVID 19 SMS
0113638,HOSPITAL DE CAMPANHA CLEOVANSOSTENES PEREIRA AGUIAR
0113816,HOSPITAL PROVISORIO DO PAULISTA COVID 19
0113824,HOSPITAL MUNICIPAL UNILAGOS C 19
0113891,HOSPITAL DO CANCER E DO CORACAO HCCOR
0113921,HOSPITAL DE CAMPANHA
0115258,HOSPITAL SOLIDARIO
0115509,HOSPITAL DE CLINICAS ANJO GABRIEL
0115878,HCAMP HOSPITAL DE CAMPANHA DE RIO VERDE
0116335,HOSPITAL DE CAMPANHA COVID 19 MARABA
0116750,HOSPITAL DE CAMPANHA POA CONTRA COVID
0117110,HOSPITAL DE CAMPANHA COVID 19 PRINCESA DO
0117277,HOSPITAL DE CAMPANHA COVID 19 SANTATREM
0117749,HOSPITAL DE CAMPANHA COVID 19 FERRAZ DE VASCONCELOS
0118095,CENTRO INTERMEDIARIO DE ENFRENTAMENTO AO CORONAVIRUS CIEC
0118427,HOSPITAL DE CAMPANHA COVID19 RIBEIRAO DAS NEVES
0119016,SMS HOSPITAL MUN DE CAMPANHA RIOCENTRO COVID 19
0119172,ATPN HOSPITAL DE CAMPANHA DE MAUA
0119199,HOSPITAL CAMPANHA DO MUNICIPIO DE CAJAMAR
0119253,METROPOLITANO MANDAGUACU
0119326,HOSPITAL DE COMBATE A COVID 19
0119377,HOSPITAL DE CAMPANHA COVID 19 DE PASSIRA
0126772,HOSPITAL DE REFERENCIA COVID 19
0127248,HOSPITAL DE CAMPANHA SANTA CRUZ DO CAPIBARIBE
0127604,HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA
0127647,HOSPITAL DE CAMPANHA COVID 19 OURICURI
0127752,HOSPITAL DE CAMPANHA MUNICIPAL DE SALGUEIRO
0127868,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA
0127876,HOSPITAL ESTADUAL COVID 19 BARRADAS
0128341,HOSPITAL DE CAMPANHA COVID 19 UPA LESTE
0128651,HOSPITAL DE CAMPANHA DE TORITAMA
0129968,HOSPITAL DE CAMPANHA COVID 19 QUEIMADOS RJ
0130575,HOSPITAL DE CAMPANHA DE BEZERROS
0130753,HOSPITAL DE CAMPANHA COVID 19 PADRE PEDRO BALZI
0131202,HOSPITAL COSTA DOS COQUEIROS
0131237,HOSPITAL MUNICIPAL SAO JUDAS TADEU
0131350,HOSPITAL SANTA CLARA
0131709,HOSPITAL DE CAMPANHA COVID 19 ILHEUS
0133272,HOSPITAL DE CAMPANHA COVID 19 MUNICIPIO DE TAUBATE
0133485,HOSPITAL DE RETAGUARDA PARA O COVID 19 BARCARENA
0133876,HOSPITAL DE CAMPANHA COVID 19
0134163,HOSPITAL DE CAMPANHA COVID 19 JACAREI
0134252,HOSPITAL NOSSA SENHORA DAS GRACAS
0135305,HOSPITAL DE CAMPANHA COVID 19 ITAPISSUMA
0135569,CENTRO DE ATENDIMENTO AO COVID 19 JARU
0135879,HOSPITAL DE CAMPANHA COVID 19 MARACANA
0136131,HOSPITAL DE CAMPANHA COVID 19
0136328,CTC CENTRO DE TRATAMENTO COVID 19 PINDAMONHANGABA
0136581,HOSPITAL METROPOLITANO DE ALAGOAS
0136751,NEURON DOR
0144975,HOSPITAL DE CAMPANHA CENTRO COVID SANTANA
0145041,HOSPITAL DE CAMPANHA COVID 19 CENTRO DE INTERNACAO
0145602,UTI GRAJAU
0145688,UCC UNIDADE DE CONTROLE DO COVID 19
0145742,HOSPITAL ESTADUAL DE RETAGUARDA COVID 19
0145882,HCAMP HOSPITAL DE CAMAPANHA DE SANTA HELENA
0145963,HOSPITAL DE CAMPANHA COVID 19 CAMPINAS
0146048,CENTRO DE COMBATE AO COVID 19 VILA ESPERANCA
0147028,SOCIEDADE HOSPITALAR MARIA VITORIA
0147907,HOSPITAL PRONTOVIDA
0148547,HOSPITAL DE CAMPANHA COVID 19 SAO GONCALO
0149632,HOSPITAL DE CAMPANHA COVID 19 MOGI DAS CRUZES
0150126,HOSPITAL DE CAMPANHA COVID 19 BRUNO DANIEL
0150312,HOSPITAL MUNICIPAL NOSSA SENHORA DE FATIMA
0150320,HOSPITAL DE CAMPANHA COVID 19 DE ACAILANDIA
0151475,UPAE GOIANA
0151882,HOSPITAL DE CAMPANHA COVID 19 SOROCABA
0152617,HOSPITAL DE CAMPANHA DE SALINOPOLIS
0153087,HOSPITAL REGIONAL DE ITAPIPOCA
0153311,HOSPITAL DE CAMPANHA COVID 19 MARAGOGI MUNICIPAL
0154369,HOSPITAL DE CAMPANHA COVID 19 DE SAO LUIS
0154687,HOSPITAL MUNICIPAL CAMPANHA C 19
0155055,MATERNIDADE SANTA CRUZ DA SERRA
0155829,HOSPITAL DE CAMPANHA COVID 19 ASSIS
0156507,HOSPITAL DE CAMPANHA COVI19 BREVES
0156647,CENTRO DE INTERNACAO COVID 19
0156701,HOSPITAL DE CAMPANHA COVID 19
0157392,HOSPITAL DE CAMPANHA COVID 19 DE SAO BENEDITO
0157414,HOSPITAL DE CAMPANHA COVID 19 PETROLINA
0157619,HOSPITAL DE CAMPANHA PARA COVID 19 DE AGUAS LINDAS DE GOIAS
0158100,HOSPITAL MUNICIPAL BRIGADEIRO
0158119,COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA
0161438,HOSPITAL MUNICIPAL GUARAPIRANGA
0161799,HOSPITAL MUNICIPAL DE REFERENCIA COVID 19 DUARTE COELHO
0163279,HOSPITAL DE CAMPANHA COVID 19 UFABC
0163864,HOSPITAL REGIONAL DE IVAIPORA
0163872,UNIDADE MISTA DE CAMPANHA COVID 19 DE RIACHAO
0164542,HOSPITAL MUNICIPAL DO RIBEIRAO
0174815,HOSPITAL DE CAMPANHA ESTADUAL VERDAO
0175404,RETAGUARDA COVID 19 CAPS JAEL PATRICIO DE LIMA
0176664,HOSPITAL DE CAMPANHA CENTRO COVID IV
0179019,HOSPITAL DE CAMPANHA COVID19 MARIA DE FATIMA ARAUJO
0179140,CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO COVID19
0179434,HOSPITAL DO OLHO LAGOS LTDA
0179574,CENTRO DE ATENDIMENTO PARA ENFRETAMENTO A COVID 19
0179817,HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA
0179914,HOSPITAL DE CAMPANHA COVID 19 SV CONTINENTAL
0180505,HOSPITAL DE FEIRA DE SANTANA
0180637,HOSPITAL DR RAIMUNDO LIMA SLZ
0181277,HOSPITAL REGIONAL HILDA STRENGER RIBEIRO
0181927,HOSPITAL REGIONAL NELSON CORNETET
0182974,HOSPITAL E MATERNIDADE MUNICIPAL DE QUEIMADOS
0183229,UPA TIANGUA
0184632,HOSPITAL DE CAMPANHA COVID 19
0185213,PA ESPECIALIZADO AO COVID 19 DE CRUZ DAS ALMAS BA
0188425,HOSPITAL REGIONAL DR RUBENS JORGE
0188875,UNIDADE COVID ZONA NORTE
0189979,HOSPITAL DE CAMPANHA COVID 19 CARAGUATATUBA
0191493,HOSPITAL DE CAMPANHA COVID 19 FERNANDA PAES
0191787,LEITOS DE ENFERMARIA COVID GRAJAU MA
0193283,HOSPITAL DE CAMPANHA COVID 19 DR JOSE FERNANDES DE LIMA
0193496,HOSPITAL DE CAMPANHA COVID 19 MARECHAL DEODORO
0196231,HOSPITAL REGIONAL DR KLEBER CARVALHO BRANCO
0196398,HOSPITAL MUNICIPAL ENCAMPADO CLINICA DA CRIANCA
0196495,CMIN CENTRO DE MEDICINA INTENSIVA DE MINAS GERAIS
0197831,HOSPITAL DE CAMPANHA COVID 19 CARLOS LOURENCO
0199516,CENTRO DE ENFRENTAMENTO AO COVID 19
0208116,HOSPITAL REGIONAL POLO DO COVID
0210188,HOSPITAL DE RETAGUARDA WALDO MACHADO XAVIER
0211125,CENTRO DE SAUDE DE XIQUE XIQUE
0211397,HOSPITAL MUNICIPAL DE CAMPANHA COVID 19 JACUNDA
0212679,HOSPITAL CAMPANHA COVID 19
0213527,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BAURU
0213837,HOSPITAL DE RETAGUARDA DE RONDONIA
0213845,HOSPITAL REGIONAL DE GUARAPUAVA
0214299,CENTRO DE PARTO NORMAL MARIA DAS DORES DE SOUZA
0214310,HOSPITAL DE CAMPANHA COVID 19 RIO DAS OSTRAS
0215368,HOSPITAL DE CAMPANHA COVID 19
0218669,HOSPITAL DE CAMPANHA COVID 19
0219436,MATERNIDADE LAURINDO JOSE FERREIRA
0220027,HOSPITAL REGIONAL PUBLICO DE CASTANHAL
0220337,HOSPITAL DE CLINICAS DE CAMPINA GRANDE
0221015,HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4
0223980,HOSPITAL DE CAMPANHA COVID 19 PARALELA II
0225967,HOSPITAL DE CAMPANHA DE JUAZEIRO DO NORTE
0226491,HOSPITAL EDUARDO CAMPOS
0229385,UTI HOSPITAL DE CAMPANHA COVID19
0230065,REDE DE ATENCAO AO COVID 19 LEITOS DE RETAGUARDA MUNICIPAL
0245364,HOSPITAL DE CAMPANHA DE PETROLINA
0246417,HOSPITAL MUNICIPAL MARIA DAS GRACAS DE OLIVEIRA SILVA
0248150,HOSPITAL DE CAMPANHA COVID 19 ALTAMIRA
0249483,HOSPITAL MUNICIPAL PADRE JULIO CESAR SIQUEIRA
0252492,HOSPITAL DE CAMPANHA DO CENTRO MEDICO DA PM
0253987,HOSPITAL DE TRATAMENTO A COVID 19 DE RONDONIA UNIDADE II
0254460,HOSPITAL PUBLICO GERAL DE CASTELO DOS SONHOS
0255297,HOSPITAL ESTADUAL COVID 19 BEBEDOURO
0255874,HOSPITAL DE CAMPANHA COVID 19 GUARATINGUETA
0256439,HOSPITAL MUNICIPAL DR ROBERTO DE CUNTO
0256684,CENTRO DE PARTO NORMAL IMACULADA CONCEICAO
0258857,HOSPITAL DE CAMPANHA COVID 19
0260134,UNIDADE DE INTERNACAO BASICA COVID
0262862,HOSPITAL DAS CLINICAS COVID 19 HCC
0265500,US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE
0270865,CIC CENTRO DE INTERNACAO CLINICA
0272957,HOSPITAL DE CAMPANHA COVID 19
0282715,HOSPESC HOSPITAL DOS PESCADORES
